Monitoring_SiteID,water_body,Determinand_Label,Analyzed_Matrix,Result_Unit,Reference_Year,Sampling_Period,LOQ_Value,Num_of_Samples,Quality_Samples,Quality_MinimumValue,Minimum_Value,Quality_Meanvalue,Mean_Value,Quality_MaximumValue,Maximum_value,Quality_MedianValue,Median_Value,UID,Country_Name,MinimumValue_outlier,MaxValue_outlier,MeanValue_outlier,Start_Date,End_Date
ATPG30900112,Ground Water,Cadmium and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.1,0,0.1,0,0.1,0,0.1,11182542,Austria,0,0,0,2015-01-01,2015-12-31
ATPG31900102,Ground Water,Cadmium and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.23,0,0.23,0,0.23,0,0.23,11183688,Austria,0,0,0,2015-01-01,2015-12-31
CZPOH_1032,River Water,Water temperature,Water,Cel,2015,2015-01-20--2015-12-03,,12,,0,3.6,0,10.41667,0,17.9,0,10.7,11150139,Czech Republic,0,0,0,2015-01-20,2015-12-03
DESM_HE_269,River Water,Isoproturon,Water,ug/L,2013,,0.05,12,12,1,0.05,1,0.05,1,0.05,1,0.05,11202095,Germany,0,0,0,,
CZPOH_1101,River Water,Water temperature,Water,Cel,2015,2015-01-28--2015-12-03,,12,,0,2.6,0,10.375,0,17.2,0,9.85,11145316,Czech Republic,0,0,0,2015-01-28,2015-12-03
BERW_03960,River Water,Nitrite,Water,mg{NO2}/L,2015,2015-01-01--2015-12-31,,12,0,0,0.145,0,0.373,0,0.726,0,0.299,11194228,Belgium,0,0,0,2015-01-01,2015-12-31
BERW_11211,River Water,Nitrate,Water,mg{NO3}/L,2015,2015-01-01--2015-12-31,,12,0,0,5.666,0,14.283,0,22.316,0,14.237,11195199,Belgium,0,0,0,2015-01-01,2015-12-31
CZPVL_1083,River Water,Dimethachlor,Water,ug/L,2015,2015-01-15--2015-12-10,0.01,12,12,1,0.01,1,0.01,1,0.01,1,0.01,11157099,Czech Republic,0,0,0,2015-01-15,2015-12-10
ATPG41222012,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.757,0,0.757,0,0.757,0,0.757,11178159,Austria,0,0,0,2015-01-01,2015-12-31
ATPG30900262,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,1,0,1,0,1,0,1,11178722,Austria,0,0,0,2015-01-01,2015-12-31
ATPG30800592,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,1.3,0,1.3,0,1.3,0,1.3,11179473,Austria,0,0,0,2015-01-01,2015-12-31
ATPG30500682,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,1.9,0,1.9,0,1.9,0,1.9,11179588,Austria,0,0,0,2015-01-01,2015-12-31
ATPG31000372,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,2.6,0,2.6,0,2.6,0,2.6,11179642,Austria,0,0,0,2015-01-01,2015-12-31
ATPG32400552,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,34.1,0,34.1,0,34.1,0,34.1,11187198,Austria,0,0,0,2015-01-01,2015-12-31
ATPG61045252,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,60.8,0,60.8,0,60.8,0,60.8,11187356,Austria,0,0,0,2015-01-01,2015-12-31
ATPG40922012,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,134.653,0,134.653,0,134.653,0,134.653,11187500,Austria,0,0,0,2015-01-01,2015-12-31
CZPMO_3742,River Water,Hardness,Water,mg{CaCO3}/L,2015,2015-01-14--2015-11-24,,12,0,0,79.42665,0,101.65722,0,125.04002,0,97.97501,11161290,Czech Republic,0,0,0,2015-01-14,2015-11-24
CZPMO_3639,River Water,Hexazinone,Water,ug/L,2014,2014-02-24--2014-11-17,0.005,6,6,1,0.005,1,0.005,1,0.005,1,0.005,11139636,Czech Republic,0,0,0,2014-02-24,2014-11-17
ATPG31900702,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,0.01,1,1,1,0.01,1,0.01,1,0.01,1,0.01,11172499,Austria,0,0,0,2015-01-01,2015-12-31
ATKK72540022,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,0.01975,1,1,1,0.01975,1,0.01975,1,0.01975,1,0.01975,11172838,Austria,0,0,0,2015-01-01,2015-12-31
CZPMO_1190,River Water,Mercury and its compounds,Water - Dissolved,ug/L,2015,2015-01-19--2015-11-25,0.05,12,12,1,0.05,1,0.05,1,0.05,1,0.05,11151003,Czech Republic,0,0,0,2015-01-19,2015-11-25
CZPVL_1041,River Water,Electrical conductivity,Water,uS/cm,2014,2014-01-13--2014-12-09,2,12,,0,115,0,138.33333,0,187,0,135.5,11140183,Czech Republic,0,0,0,2014-01-13,2014-12-09
ATPG10001222,Ground Water,Atrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.048,0,0.048,0,0.048,0,0.048,11171448,Austria,0,0,0,2015-01-01,2015-12-31
